DEPT,COURSE_NUM,COURSE_TITLE,DESCRIPTION
CE,589,Environmental Engineering Design and Synthesis,"Environmental engineering projects submitted by external sponsors are undertaken by small teams of students to develop advanced principles used in planning, design, and synthesis. Final recommendations and engineering designs are presented to the sponsors with due attention to the social, economic, and ethical constraints of the project. Each student team also prepares a manuscript of the completed project that is suitable for publication n a peer-reviewed professional journal. The final report to the sponsor and the manuscript prepared by the team must be approved by the team's graduate committee comprised of at a minimum, the course instructor, a faculty mentor from the CE department, and a faculty external to the CE department."
CE,590,Special Problems,Special problems or reading by special arrangement with the faculty.
CE,597,Special Projects in Civil Engineering,"A special project, or series of problems, or research problem is assigned to or selected by the student. A comprehensive report must be submitted at the conclusion of the project. Not to be used as a substitute for CE 599, Thesis Research. Variable credit. May be repeated up to a maximum of eight credits."
CE,598,Special Topics in Civil Engineering,Studies in advanced topics of current interest.
CE,599,Thesis Research,Thesis research.
CHE,110,Programming and Computation for Chemical Engineers,"An introduction to problem solving and programming using spreadsheets and Visual Basic for Applications (VBA). Spreadsheet applications include graphical analysis, curve-fitting, parameter estimation, numerical differentiation and integration, solution of systems of algebraic (linear and nonlinear) equations and ordinary differential equations. VBA programming topics include structured and object-oriented programming concepts as well as applications involving the creation of customized worksheet functions."
CHE,200,Career Preparation I,Career choices in chemical engineering. Internships and co-ops. Resume preparation. Interview skills
CHE,201,Conservation Principles and Balances,"An introduction to engineering calculations, the use of common process variables, and conservation and accounting of extensive properties as a common framework for engineering analysis and modeling. Applications of conservation of mass and energy in the analysis of non-reactive chemical engineering processes will be addressed. There will be an introduction to equipment, flowcharts, techniques and methodologies used by practicing chemical engineers."
CHE,202,Basic Chemical Process Calculations,The course continues to develop concepts from CHE 201 and provides a more extensive treatment of energy balances. Applications of the principles of conservation of mass and energy to reactive and transient systems will also be addressed.
CHE,300,Career Preparation II,Career choices; preparation of resume; preparation for summer positions; preparation for graduate programs. 2-5 contact hours per quarter.
CHE,301,Fluid Mechanics,"Physical properties of fluids, fluid statics, laminar and turbulent flow, boundary layer concept, flow past objects and flow through porous media. Design of pipe networks and pumps. High speed ideal gas flow. Emphasis is placed on general methods of analysis applicable to any fluid. Solution of problems by computer will be stressed."
CHE,303,Chemical Engineering Thermodynamics,"First and second laws of thermodynamics and their application including thermodynamic cycles, closed and open systems. Thermodynamic properties of pure components. Phase equilibria of pure components. Equations of state, state diagrams. Thermodynamic analysis of processes."
CHE,304,Multi-Component Thermodynamics,Properties of mixtures. Phase equilibria for mixtures. Equations of state and activity coefficient models. Chemical reaction thermodynamics. Thermodynamic analysis of processes. Project based study of phase equilibria involving the use of a process simulator.
CHE,310,Numerical Methods for Chemical Engineers,"The objective of this course is to learn the fundamentals of several important numerical methods and how to apply them to solve chemical engineering problems. This will include the study of algorithms to solve systems of algebraic and differential equations, toperform numerical integration, to apply linear and nonlinear regression techniques, and to perform stochastic Monte Carlo simulations. Matlab and Excel will be used as the programming and computing software."
CHE,320,Fundamentals of Heat and Mass Transfer,"Discussion of fundamental heat and mass transfer principles: conduction, forced and free convection, radiation, and diffusion. Mathematical analysis and computation of heat transfer, mass transfer, temperature, and concentration profiles in systems with simple geometries. Finite difference equations. Estimation of local and overall heat and mass transfer coefficients."
CHE,321,Applications of Heat and Mass Transfer,"Use, design, and selection of heat exchangers and heat exchange systems for various applications in the chemical process industries. Study of gas-liquid and liquid-liquid mass transfer operations including gas absorption, extraction, and distillation in equilibrium staged tray columns and packed columns. Quantitative treatment of mass transfer based on material and energy balances, phase equilibrium, and rates of heat and mass transfer. Applications of radiation heat transfer, boiling, and condensation."
CHE,404,Kinetics and Reactor Design,"The course covers homogeneous kinetics, differential and integral data analysis, batch, mixed, and plug flow reactors, systems with multiple reactions, reactor cascades, and temperature and energy effects."
CHE,405,Introduction to MEMS: Fabrication and Applications,"Properties of silicon wafers, wafer-level processes, surface and bulk micromachining, thin-film deposition, dry and wet etching, photolithography, process integration, simple actuators. Introduction to microfluidic systems. MEMS applications: capacitive accelerometer, cantilever and pressure sensor. Cross-listed with ECE 416, EP 410, and ME 416."
CHE,409,Professional Practice,"Topics on professional practice, ethics, and contemporary and global issues in the profession are discussed."
CHE,411,Chemical Engineering Laboratory I,"Principles underlying momentum, mass and energy transfer and the applications of equipment used to accomplish such transfer, introduction to laboratory concepts in data collection, record keeping, interpretation and analysis, and instrumentation including experimental error analysis, regression, model formulation, experimental design, and instrumentation. Written and oral reports are required. Formal instruction on written and oral communication and teaming will be provided."
CHE,412,Chemical Engineering Laboratory II,"Continuation of principles underlying momentum, mass and energy transfer with some emphasis on kinetics, applications of equipment used to accomplish such transfer."
CHE,413,Chemical Engineering Laboratory III,Continuation of CHE 412 with emphasis on process control and kinetics.
CHE,416,Chemical Engineering Design I,Introduction to the design process; simulation to assist in process creation; synthesis of separation trains; design of separation equipment; and capital cost estimation.
CHE,417,Chemical Engineering Design II,"Design of reactor-separator-recycle networks; heat and power integration; batch process scheduling; annual costs, earnings and profitability; preliminary work on a capstone design project."
CHE,418,Chemical Engineering Design III: Capstone Design Project,Completion of an open-ended design project that will include written and oral communication of intermediate results and a final written report.
CHE,419,Advanced MEMS: Modeling and Packaging,"Design process, modeling; analytical and numerical. Actuators; dynamics and thermal issues. Use of software for layout and simulation. Characterization and reliability of MEMS devices. Electrical interfacing and packaging of MEMS. Microsensors, microfluidic systems, applications in engineering, biology, and physics. Students enrolled in CHE 419/519, must do project work on a topic selected by the instructor. Cross-listed with EP 411, and ECE 419."
CHE,420,Consulting Engineering Seminar,"Discusses problems in the field of consulting engineering. Seminars presented by practicing consulting engineers. Cross-listed with CE 420, ECE 466, ME 420, and BE 400."
CHE,440,Process Control,"The mathematics of process dynamics, control system design, Laplace transforms, feedback control theory, characteristics of sensors, transmitters and control elements, stability criteria, and frequency response. Use of control design software is emphasized."
CHE,441,Polymer Engineering,"Interrelation of polymer structure, properties and processing. Polymerization kinetics. Methods for molecular weight determination. Fabrication and processing of thermoplastic and thermosetting materials. Student projects."
CHE,450,Air Pollution,"An introduction to air pollution and its control with special emphasis on the engineering aspects. Discussions of meteorology, health effects, sources and types of pollution, industrial control technology. Student projects. Cross-listed with CE561."
CHE,461,Unit Operations in Environmental Engineering,"Physical-chemical unit operations pertinent to wastewater treatment such as membrane separations, filtration, coagulation, flocculation, ion exchange, carbon adsorption. Applications for unit operations from the chemical process industries are also covered. Cross-listed with CE563."
CHE,465,Energy and the Environment,"This is a survey course in which the energy needs of the world, the ways in which those needs are currently being met, the development and current usage of renewable energy, and the impact of these on the environment, specifically the impact on climate change, are examined. Life cycle analysis is also considered."
CHE,470,"Safety, Health, and Loss Prevention","Fundamentals of chemical process safety including toxicology, industrial hygiene, toxic release and dispersion models, fires and explosions, designs to prevent fires and explosions. Informal safety review."
CHE,490,Special Topics in Chemical Engineering,Topics of current interest in chemical engineering.
CHE,499,Directed Research,A special project is assigned to or selected by the student. The publication of research is encouraged. Variable credit. May be repeated up to a maximum of eight credits.
CHE,502,Transport Phenomena I,"Most of the course focuses on the derivation, simplification, and solution of the equations of change for momentum, energy, and mass transport. Mathematical determination of velocity profiles and momentum flux for isothermal, laminar flows in both steady and unsteady systems will be covered. Mathematical determination of temperature profiles and heat flux, and concentration profiles and mass flux both in solids and in laminar flows will also be covered. Boundary layer theory will be discussed. Turbulent flow theories may also be addressed."
CHE,503,Transport Phenomena II,"Energy Transport: multidimensional systems; macroscopic balances for nonisothermal systems. Mass Transport: fundamentals of ordinary diffusion, multicomponent diffusion, pressure and thermal diffusion, coupled heat and mass transfer, boundary layer analysis, turbulent transport, mass transfer coefficients, macroscopic balances."
CHE,504,Advanced Reactor Design,"Strategies for modeling the effects of real reactor systems, including non-ideal flow and multiple phases. Applications in catalysis, combustion, biotechnology, polymerization, and materials processing. Computer methods and software for reactor engineering."
CHE,505,Introduction to MEMS: Fabrication and Applications,"Properties of silicon wafers; wafer-level processes, surface and bulk micromachining, thin-film deposition, dry and wet etching, photolithography, process integration, simple actuators. Introduction to microfluidic systems. MEMS applications: capacitive accelerometer, cantilever and pressure sensor. Cross-listed with BE 516, ECE 516, EP 510, and ME 516."
CHE,512,Petrochemical Processes,"Multicomponent separation of petroleum by flash vaporization. Processes for production of light petroleum products from heavier derivatives. Production of petrochemicals such as ethylene, methanol, and ammonia from natural gas and other fossil fuels. Group projects and presentations on refinery and petrochemical processes. Material balances and economic evaluations of the processes."
CHE,513,Advanced Chemical Engineering Thermodynamics,"Review of thermodynamic principles including fundamental equations and the laws of thermodynamics. Thermodynamics of mixtures, phase equilibria, and thermodynamic analysis of processes. Project based in-depth study of phase equilibria, equations of state, and activity coefficient models. Use of process simulator for phase equilibria calculations. Introduction to statistical thermodynamics."
CHE,519,Advanced MEMS: Modeling and Packaging,"Design process, modeling; analytical and numerical. Actuators; dynamics and thermal issues. Use of software for layout and simulation. Characterization and reliability of MEMS devices. Electrical interfacing and packaging of MEMS. Microsensors, microfluidic systems, applications in engineering, biology, chemistry, and physics. Cross-listed with EP 511, ME 519, and ECE 519."
CHE,521,Advanced Chemical Engineering Computation,"The application of advanced mathematics to chemical engineering problems. The topics include: the formulation of the partial differential equations of kinetics and heat, mass and momentum transfer problems; series solution techniques; transform solution techniques; vector formulation; numerical methods for systems of differential equations; optimization, including linear programming, combinatorial optimization, and stochastic optimization techniques."
CHE,540,Advanced Process Control,"Control topics beyond those covered in CHE 440. Topics will be selected from among the following: advanced control using cascade, feed forward, nonlinear, and adaptive control; multivariable systems including RGA analysis and decoupling; a major control system design and implementation project using a modern distributed control system."
CHE,545,Introduction to Biochemical Engineering,"Survey course introducing biochemical terminology and processes. Enzyme kinetics, cellular genetics, biochemical transport phenomena, and design and operation of biochemical reactors. Emphasis on applying engineering principles to biochemical situations."
CHE,546,Bioseparations,"An analysis of bioseparation processes. Filtration, centrifugation, adsorption, electrophoresis, and chromatography are the primary topics of the course. Applications are emphasized."
CHE,590,Special Topics in Chemical Engineering,Topics of current interest in chemical engineering. May be repeated.
CHE,597,Special Projects in Chemical Engineering,"A special project, or series of problems, or research problem is assigned to or selected by the student. A comprehensive report must be submitted at the conclusion of the project. Not to be used as a substitute for CHE 599, Thesis Research. Variable credit. May be repeated up to a maximum of eight credits."
CHE,598,Graduate Seminar,"Selected topics in chemical engineering are discussed by graduate students, faculty, and guest speakers."
CHE,599,Thesis Research,"Credits as assigned; however, not more than 12 credits will be applied toward the requirements of the M.S. degree."
CHE,315,Materials Science and Engineering,"Introduction to the properties and processing of metals, ceramics, polymers, and semiconductors. The influences of crystal structure, interatomic bonding, and electronic structure on physical, mechanical, and electrical properties are emphasized. Causes and mitigation of various types of corrosion are explored. Properties and design of composite materials are introduced."
CHEM,111,General Chemistry I,"Topics include stoichiometry, nomenclature, phases, and writing balanced chemical equations. Quantum theory is introduced in relation to chemical applications. Atomic structure is introduced. Bonding principles and molecular structure are discussed in terms of Lewis Dot Structures, Valence Bond Theory, VSEPR Theory, Hybridization, and Molecular Orbital Theory."
CHEM,111L,General Chemistry I Laboratory,Fundamental chemistry laboratory skills are introduced along with data analysis in support of topics presented in CHEM111 recitation.
CHEM,112,Chemistry Honors,"An accelerated course covering topics in CHEM 111 and CHEM 113. Upon successful completion of this course, an additional 3 credits will be awarded. Enrollment is limited to those students who complete the Rose-Hulman online Chemistry Advanced Placement Examination given prior to the freshman orientation period."
CHEM,113,General Chemistry II,Topics in this course include the fundamentals of thermodynamics and kinetics. The fundamentals of chemical equilibrium are introduced. Definitions of acid and bases are discussed utilizing the Bronsted-Lowry and Lewis models. Nuclear chemistry is also included.
CHEM,113L,General Chemistry II Laboratory,Fundamental chemistry laboratory skills are introduced along with data analysis in support of topics presented in CHEM113 recitation.
CHEM,115,General Chemistry III,"Topics in this course include acid-base reactions, electrochemistry, and coordination chemistry."
CHEM,115L,General Chemistry III Laboratory,Fundamental chemistry laboratory skills are introduced along with data analysis in support of topics presented in CHEM113 recitation.
CHEM,200,Career Preparation,"This course is for chemistry and biochemistry majors to be taken in the second year. The course addresses career choices, summer opportunities, employment and graduate school preparation, and curriculum vitae and resumes preparation. Cross-listed with MA200, and SV200."
CHEM,225,Analytical Chemistry,"This laboratory-driven course is an introduction to classical and modern quantitative analysis with emphasis on calculations, separations, and precise and accurate measurements. Theoretical and practical perspectives of chemical analysis are considered. Chemical instrumentation includes recording pH/mV meters, constant rate burets, colorimeters, spectrophotometers, high performance liquid chromatographs and gas-liquid chromatographs."
CHEM,225L,Analytical Chemistry Laboratory,This course represents the laboratory component of analytical chemistry. Practicums are part of the grade along with reports.
CHEM,251,Organic Chemistry I,"An introduction to the classification of organic compounds, their structural features, including stereochemistry, and concepts related to reaction mechanisms and synthetic methods."
CHEM,251L,Organic Chemistry I Laboratory,Organic Laboratory techniques are developed along with appropriate spectroscopic methods. Assessment is in part via practicums. Computational chemistry methods and green chemistry approaches are also introduced.
CHEM,252,Organic Chemistry II,"Continuation of Organic Chemistry I with greater emphasis on reaction mechanisms and synthesis, and an introduction to the methods used to determine structure, including IR and NMR spectroscopy and mass spectrometry."
CHEM,252L,Organic Chemistry II Laboratory,"A continuation of CHEM251L where additional, more complicated synthetic techniques and methods along with additional spectroscopic techniques are introduced. Assessment is in part via practicums."
CHEM,253,Organic Chemistry III,"Study of carbanions, classical and non-classical carbocations, polyfunctional compounds, heterocyclics, orbital symmetry and more advanced reaction mechanisms, molecular rearrangements and syntheses."
CHEM,253L,Organic Chemistry III Laboratory,Project based laboratory where techniques and skills developed in the previous organic laboratories are applied to more open-ended problems.
CHEM,264,Introduction to Environmental Science,"This course will introduce students to the broad field of environmental science by examining the biological, chemical, and physical processes that regulate the earth’s ecosystems and the effect that anthropogenic activity has in disrupting these components on the local and global scale. A final aspect of the course will discuss sustainable human utilization of natural resources. Cross-listed with BIO264."
CHEM,275,Special Topics in Chemistry,Studies in topics of current chemical interest not addressed in other named courses.
CHEM,276,Directed Laboratory Study in Chemistry,Laboratory studies designed to supplement the background of entering students with an exceptional high school background in chemistry. This course is recommended for students entering with an AP 5 score.
CHEM,290,Chemical Research,Research performed under the direction of a faculty member selected by mutual agreement. This course is designed for research performed before taking CHEM291. Students may register for 1 to 2 credit hours per quarter.
CHEM,291,Introduction to Chemical Research,"Students will be introduced to skills necessary for conducting chemical research. Students will gain proficiency in: (1) literature searching of primary, secondary, and tertiary sources emphasizing the use of online databases; (2) laboratory skills involving synthesis, characterization, analysis, and keeping a notebook; (3) safety practice including MSDS interpretation; and (4) ethical conduct in collecting and reporting data and results. Students will also discuss research projects with at least three faculty members."
CHEM,304,Glassblowing,"A laboratory course in the manufacture, use and repair of scientific glassware. Six types of seals are constructed; a student-designed project is required."
CHEM,326,Bioanalytical Chemistry,"Addresses instrumental methods of analysis applicable to biochemistry including instrument design, operating principles, theory and application. Topics include molecular spectroscopic techniques in the infrared, visible and ultraviolet regions, including luminescence and Raman spectroscopy. Separation techniques including liquid chromatography and capillary electrophoresis are also addressed."
CHEM,327,Advanced Analytical Chemistry,"Addresses theory, operating principles, and application of instrumental methods for chemical analysis in the areas of atomic spectroscopy, x-ray techniques, gas chromatography and electroanalytical methods."
CHEM,330,Biochemistry I,"Includes the structure and function of biological molecules, enzyme kinetics and mechanisms, and the reactions, strategy, and regulation of carbohydrate metabolism."
CHEM,331,Biochemistry II,"Includes the reactions, strategy, and regulation of the major metabolic pathways in humans and of selected pathways in plants, and the storage, repair, and transmission of genetic information."
CHEM,360,Introduction to Physical Chemistry for Engineers,"Introduction to statistical thermodynamics, electrochemistry, chemical kinetics, surface chemistry and colloid science. The laboratory will meet for 4 hours alternate weeks and will investigate topics associated with chemical kinetics and surface phenomena."
CHEM,361,Physical Chemistry I,"Covers the laws of thermodynamics, free energy, gases, phase equilibria and solutions. Emphasizes the applications of differential and integral calculus and includes an introduction to statistical thermodynamics and surface chemistry. The laboratory will meet for 4 hours on alternate weeks and will investigate topics associated with thermodynamics and phase equilibrium."
CHEM,362,Physical Chemistry II,"Covers chemical equilibria, statistical mechanics, kinetics and electrochemistry. The laboratory will meet for 4 hours on alternate weeks."
CHEM,363,Quantum Chemistry & Molecular Spectroscopy,Covers elementary quantum mechanics with emphasis on applications in molecular structure.
CHEM,371,Environmental Analytical Chemistry,"This course is a laboratory-driven course where processes involved in performing environmentalanalytical chemistry are addressed. The focus of this course is on the chemical principles,analytical theory, instrumentation, and methods employed to quantitatively and qualitatively analyze pollutants in soil, water, biological tissues, and the atmosphere. Several techniques will be included in the course: sampling (obtaining a representative sample of complex system);sample preparation (extraction, clean-up, pre-concentration, derivitization, digestion, etc.); data acquisition (The laboratory will include use of EPA/ASTM methods/protocols, method development, etc.); and data handling and analysis (statistics, signals, noise, etc.)."
CHEM,400,Chemical Communication I,Students will engage in both oral and written communication that will culminate in a professional seminar and a published thesis at the completion of this course sequence. The emphasis of this course is to provide instruction in written communication. The fundamental skills useful for composition of professional chemistry communications is introduced culminating in a research prospectus. Students will also recognize elements of effective oral presentations by attending and evaluating seminar speakers in the chemistry department’s seminar series.
CHEM,401,Chemical Communication II,Students will engage in both oral and written communication that will culminate in a professional seminar and a published thesis at the completion of this course sequence. Students will learn methods associated with constructing results and analysis sections of formal research reports consistent with the guidelines presented in The ACS Style Manual. Students will also recognize elements of effective oral presentations by attending and evaluating seminar speakers in the chemistry department’s seminar series.
CHEM,402,Chemical Communication III,The emphasis of this course is to provide instruction in oral communication. Students will be taught fundamental skills useful for public presentation of research and its results. Students will also be required to attend the chemistry department’s seminar series.
CHEM,403,Chemical Communication IV,Students will publish a thesis and deliver a professional seminar on their undergraduate research.
CHEM,430,Advanced Biochemistry,"An in-depth exploration of selected topics from the current biochemistry scientific literature, including molecular mechanisms of infectious diseases and genetic disorders, methods for rational drug design, and relationships between structure and function for biological molecules."
CHEM,433,Biochemistry Laboratory,"Fundamental techniques employed in isolation, characterization and study of biomolecules, and enzyme kinetics. Techniques used may include homogenization, solvent extraction, centrifugation, salt fractionation, chromatography, and electrophoresis."
CHEM,441,Inorganic Chemistry I,"The chemistry of non-metals. This course consists of a systematic study of the properties and reactions of the elements and their compounds based upon modern theories of the chemical bond, as well as from the viewpoint of atomic structure and the periodic law."
CHEM,442,Inorganic Chemistry II,"The chemistry of metals. Modern theories such as valence bond, molecular orbital, electrostatic and ligand field are used to explain the properties of complex ions. Synthesis and characterization of complexes are done in the lab."
CHEM,451,Organic Structure Determination,"Chemical and spectroscopic identification of organic compounds. Study of nuclear magnetic resonance and mass spectrometry, infrared spectroscopy and other techniques applied to structure elucidation and stereochemistry."
CHEM,465,Environmental Organic Chemistry,"This course will examine the processes that control the fate of organic contaminants in the environment. Course topics include applying chemical thermodynamics to understand environmental fate, aqueous solubilities, partitioning behavior into various environmental compartments, sorption behavior, and the mechanisms and kinetics of some important abiotic transformations."
CHEM,470,Special Topics in Chemistry,Studies in advanced topics of current chemical interest not addressed in other named courses.
CHEM,476,Directed Laboratory Study in Chemistry,"Laboratory studies designed to supplement an area concentration in organic, inorganic, analytical, physical, or some other field of chemistry."
CHEM,477,Directed Study in Chemistry,Allows individual study in a topic not usually offered. A student may take 1 to 4 credits. A maximum of 4 credits is permitted.
CHEM,490,Chemical Research,Research performed under the direction of a faculty member selected by mutual agreement. Students may register for 1 to 3 credit hours per quarter.
CHEM,530,Advanced Biochemistry,"An in-depth exploration of selected topics from the current biochemistry scientific literature, including molecular mechanisms of infectious diseases and genetic disorders, methods for rational drug design, and relationships between structure and function for biological molecules. Students enrolled in CHEM 530 must complete a project not covered in CHEM 430. A student may not receive credit for both CHEM 430 and CHEM 530."
CHEM,531,Biochemical Instrumentation,"This project-based course includes approaches for the analysis of biochemical experimental problems, experimental design for molecular biology and biochemistry, and the theoretical basis and practical aspects of operating instruments used in biochemical research."
CHEM,532,Biochemical Pharmacology,"Topics include medicinal chemistry and molecular pharmacology. The topics will also include a survey of potential drug targets, the molecular interactions between drugs and their targets, the drug discovery and development process and case studies of drugs treating diseases such as cancer, bacterial and viral infection, and neurological disorders."
CHEM,545,Organometallic Chemistry,A survey of the chemistry of main group organometallic compounds and organo-transition metal complexes. Reaction mechanisms and uses in organic synthesis and catalysis are studied.
CHEM,552,Synthetic Organic Chemistry,"A survey of contemporary methodology in organic synthesis. Retrosynthetic analysis, functional group transformations, condensation chemistry, and organometallic reagents will be stressed. Includes computer assisted synthesis."
CHEM,554,Theoretical Organic Chemistry,Study of physical and chemical methods used to investigate organic reaction mechanisms; the chemistry of carbenes; organic photochemistry.
CHEM,555,Natural Products,"A study of naturally occurring materials such as carbohydrates, lipids, amino acids, terpenes and steroids. The course also entails a discussion of synthesis, biosynthesis, structure elucidation, selected degradation and other reactions as well as some medicinal characteristics of selected natural products."
CHEM,557,Synthetic Polymer Chemistry,"Polymer synthesis, reactions, and applications. Organic chemistry of polymer synthesis and modification. Design of polymer systems that meet certain performance criteria or have desirable physical properties."
CHEM,561,Advanced Physical Chemistry,"Addresses a variety of topics in quantum mechanics, statistical thermodynamics or kinetics."
CHEM,562,Physical Polymer Chemistry,"Physical behavior of polymers. Physical properties, molecular weight determination, relationship between morphology and mechanical properties."
CHEM,599,Thesis Research,"Credits as assigned; however, not more than 12 credits will be applied toward the requirements of the M.S. degree."
CLSK,100,College and Life Skills,This course will assist Rose-Hulman students in acquiring life skills and in learning more about themselves. These new skills will assist the student in a smooth transition from high school to college and will provide the students with the tools necessary for success as a student and in life. Additionally this course will introduce students to people and resources at Rose-Hulman who can assist them in providing a positive educational as well as personal experience.
CLSK,121,College English,"Focuses on understanding the basic patterns and conventions of writing, enhancing reading skills and written comprehension, and improving verbal communication and oral comprehension. This course is intended for students for whom English is a second language. Students required to take CLSK121 must successfully complete the course prior to taking RH131."
CLSK,122,English Language and Culture in Academic Texts,Reviews English grammar and introduces and develops deeper understanding of academic vocabulary. Familiarizes students with essential essay structures in academia. Introduces academic readings in select topics of academic concern in American socio-culture. The course does not satisfy any Rose-Hulman degree requirement.
CLSK,123,English Language in Academic Research and Composition,Introduces students to formal research and composition of research papers. Strengthen students’ formal research and writing skills for research papers. Guides students through readings in academic journals and articles. The course does not satisfy any Rose-Hulman degree requirement.
CLSK,124,"English Language and Culture in Academic Speech, Presentation, and Argumentation",Emphasizes fluency in spoken English. Rehearses academic vocabulary. Prepares students for academic presentations including technology. Develops students’ academic listening and note-taking skills focusing on topics of American socio-cultural study. Introduces students to Socratic discussion and argumentation. The course does not satisfy any Rose-Hulman degree requirement.
CLSK,125,English Rhetoric and Culture in Academia,"Prepares students for full-length lectures in courses related to their majors, focusing on oral rhetoric devices. The course does not satisfy any Rose-Hulman degree requirement."
CSSE,120,Introduction to Software Development,"An introduction to procedural and object-oriented programming with an emphasis on problem solving. Problems may include visualizing scientific or commercial data, interfacing with external hardware such as robots, or solving numeric problems from a variety of engineering disciplines. Procedural programming concepts covered include data types, variables, control structures, arrays, and data I/O. Object-oriented programming concepts covered include object creation and use, object interaction, and the design of simple classes. Software engineering concepts covered include testing, incremental development, understanding requirements, and teamwork."
CSSE,132,Introduction to Computer Systems,"Provides students with an understanding of system level issues and their impact on the design and use of computer systems. Examination of both hardware and software layers. Basic computation structures and digital logic. Representation of instructions, integers, floating point numbers and other data types. System requirements, such as resource management, security, communication and synchronization, and their hardware and/or software implementation. Exploration of multiprocessor and distributed systems. Course topics will be explored using a variety of hands-on assignments and projects."
CSSE,220,Object-Oriented Software Development,"Object-oriented programming concepts, including the use of inheritance, interfaces, polymorphism, abstract data types, and encapsulation to enable software reuse and assist in software maintenance. Recursion, GUIs and event handing. Use of common object-based data structures, including stacks, queues, lists, trees, sets, maps, and hash tables. Space/time efficiency analysis. Testing. Introduction to UML."
CSSE,221,Fundamentals of Software Development Honors,This course is intended for students who have sufficient programming experience to warrant placement in an accelerated course covering the topics from CSSE 120 and CSSE 220. This course will satisfy the prerequisite requirements for courses that have CSSE 220 as a prerequisite.
CSSE,230,Data Structures and Algorithm Analysis,"This course reinforces and extends students' understanding of current practices of producing object-oriented software. Students extend their use of a disciplined design process to include formal analysis of space/time efficiency and formal proofs of correctness. Students gain a deeper understanding of concepts from CSSE 220, including implementations of abstract data types by linear and non-linear data structures. This course introduces the use of randomized algorithms. Students design and implement software individually, in small groups, and in a challenging multi-week team project."
CSSE,232,Computer Architecture I,"Computer instruction set architecture and implementation. Specific topics include historical perspectives, performance evaluation, computer organization, instruction formats, addressing modes, computer arithmetic, ALU design, floating-point representation, single-cycle and multi-cycle data paths, and processor control. Assembly language programming is used as a means of exploring instruction set architectures. The final project involves the complete design and implementation of a miniscule instruction set processor."
CSSE,241,Computing in a Global Society,"The ability to work with colleagues from other cultures and to work on international projects are key assets in today's job market. The centerpiece of this course is a real-world computing project that students develop in cooperation with peers from an institution of higher education in a foreign country. Exposes students to the procedures and complexities of working on projects that span many time-zones and cultures. Additionally, students examine the use and impact of computing in a global community. International travel is required; students will be expected to incur additional expenses (will vary depending on the project, institution, and country). May be repeated once (for free elective credit only) if the country involved is different."
CSSE,290,Special Topics in Computer Science,Selected topics of current interest. May be repeated for credit if topic is different.
CSSE,304,Programming Language Concepts,"Syntax and semantics of programming languages. Grammars, parsing, data types, control flow, parameter passing, run-time storage management, binding times, functional programming and procedural abstraction, syntactic extensions, continuations, language design and evaluation. Students will explore several language features by writing an interpreter that implements them."
CSSE,325,Fractals and Chaotic Dynamical Systems,"Emphasis on the mathematical and computer graphics foundations behind fractal images and the relationship between chaotic dynamics and fractal geometry. Self-similar fractals, random fractals with Brownian motion, and fractals generated from dynamical systems. Fractal dimensions. Iterated Function Systems. Chaos in one-dimensional maps. Controlling chaos. Mandelbrot and Julia sets. Computer graphics. Same as MA 325."
CSSE,332,Operating Systems,"Students learn fundamental concepts of modern operating systems by studying how and why operating systems have evolved. Topics include CPU scheduling, process synchronization, memory management, file systems, I/O systems, privacy and security, and performance evaluation. Students implement parts of an operating system as a means of exploring the details of some of these topics."
CSSE,333,Database Systems,"Relational database systems, with emphasis on entity relationship diagrams for data modeling. Properties and roles of transactions. SQL for data definition and data manipulation. Use of contemporary API's for access to the database. Enterprise examples provided from several application domains. The influence of design on the use of indexes, views, sequences, joins, and triggers. Physical level data structures: B+ trees and RAID. Survey of object databases."
CSSE,335,Introduction to Parallel Computing,Principles of scientific computation on parallel computers. Algorithms for the solution of linear systems and other scientific computing problems on parallel machines. Course includes a major project on RHIT's parallel cluster. Same as MA 335.
CSSE,351,Computer Graphics,"Computer graphics algorithms, hardware and software. Line generators, affine transformations, line and polygon clipping, interactive techniques, perspective projection, solid modeling, hidden surface algorithms, lighting models, shading, and graphics standards. Programming assignments and a final project are required."
CSSE,352,Computer Game Development,"An introduction to designing and developing computer games. Topics include game genres, game design, sprites, game physics, collisions, characters, scripting, graphics, and sound. Students will design and implement their own game using an available game engine."
CSSE,371,Software Requirements Engineering,"Basic concepts and principles of software requirements engineering, its tools and techniques, and methods for modeling software systems. Topics include requirements elicitation, prototyping, functional and non-functional requirements, object-oriented techniques, and requirements tracking."
CSSE,372,Software Project Management,"Major issues and techniques of project management. Project evaluation and selection, scope management, team building, stakeholder management, risk assessment, scheduling, quality, rework, negotiation, and conflict management. Professional issues including career planning, lifelong learning, software engineering ethics, and the licensing and certification of software professionals."
CSSE,373,Formal Methods in Specification and Design,"Introduction to the use of mathematical models of software systems for their specification and validation. Topics include finite state machine models, models of concurrent systems, verification of models, and limitations of these techniques."
CSSE,374,Software Design,"Introduction to the architecture and design of complete software systems, building on components and patterns. Topics include architectural principles and alternatives, design documentation, and relationships between levels of abstraction."
CSSE,375,Software Construction and Evolution,"Issues, methods and techniques associated with constructing software. Topics include detailed design methods and notations, implementation tools, coding standards and styles, peer review techniques, and maintenance issues."
